name,Occurrence,order,Main page,Store Link,Accessible,Multiplayer,Social,Creator,Origin,Store,Price,Number of Reviews,Temp_reviews_no_n/a,Normalized reviews,Web Visitor Count,Normalized visitors,Popularity via Z-score,Who,Rating,Additional Comments for removal,Official Documentation,External Guides,Video links,Editor,Editor - Description,Scripting,Scripting - Description,Lang,Hosting,Hosting - Description,Peer-review,Review - Description
Spaceteam VR,First,57,https://www.meta.com/en-gb/experiences/spaceteam-vr/2531338473623578/,https://www.meta.com/en-gb/experiences/spaceteam-vr/2531338473623578/,Yes,No,,,quest_query_data_social,Quest,12.99,126,,,,,,,60,,,,,,,,,,,,,
Third Room,First,75,https://thirdroom.io/landing,thirdroom.io,Yes,Yes,Yes,Yes,Google search,,Free,N/A,285,-0.2622556079,1183,-0.1945251449,-0.4568,A1,,,,,,Custom,,full code,,C#,Self-hosted,,No peer review,
Spatial,First,30,https://www.meta.com/en-gb/experiences/spatial/2927141310670477/,https://www.meta.com/en-gb/experiences/spatial/2927141310670477/,Yes,Yes,Yes,Yes,quest_query_data_metaverse,Quest,Free,557,,,,,,,72,,,,,,,,,,,,,
spatial,,10,https://www.spatial.io/,"https://apps.apple.com/us/app/spatial/id1528403747
https://play.google.com/store/apps/details?id=io.spatial.spatial&pli=1
https://www.meta.com/en-gb/experiences/2927141310670477/",Yes,,Yes,Yes,Google search,"App Store
Google Play
Meta","Free
Free
Free",557,,,,,,,,,,,,,,,,,,,,
Spatial,,71,https://www.spatial.io/,https://www.oculus.com/experiences/quest/2927141310670477/,Yes,Yes,Yes,Yes,QuestDB,Quest,Free,555,,,,,,,,,,,,,,,,,,,,
Spatiate,First,102,-,#N/A,#N/A,No,,,Google search,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,
Spherum 3D,First,51,https://store.steampowered.com/app/2223230/Spherum_3D/?snr=1_7_7_151_150_2,https://store.steampowered.com/app/2223230/Spherum_3D/?snr=1_7_7_151_150_2,,No,No,,steam_query_data_metaverse,Steam,,0,,,,,,,-,,,,,,,,,,,,,
STAGE,First,103,-,#N/A,No,#N/A,,,Google search,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,
Stageverse,First,104,-,,No,,,,Google search,,,,,,,,,,,,,,,,,,,,,,,
Star Renegades: Guardian of the Metaverse,First,7,https://store.steampowered.com/app/1677780/Star_Renegades_Guardian_of_the_Metaverse/?snr=1_7_7_151_150_1,https://store.steampowered.com/app/1677780/Star_Renegades_Guardian_of_the_Metaverse/?snr=1_7_7_151_150_1,,No,,,steam_query_data_metaverse,Steam,,0,,,,,,,-,,,,,,,,,,,,,
Star Trek: Bridge Crew,First,79,https://www.meta.com/en-gb/experiences/star-trek-bridge-crew/2507216576060698/,https://www.meta.com/en-gb/experiences/star-trek-bridge-crew/2507216576060698/,Yes,No,,,quest_query_data_social,Quest,29.99,2177,,,,,,,58,,,,,,,,,,,,,
Star Wars: Droid Repair Bay,First,36,-,https://store.steampowered.com/app/726910/Star_Wars_Droid_Repair_Bay/?snr=1_7_7_151_150_1,,No,,,steam_query_data_vr_multiplayer,Steam,,504,,,,,,,89%,,,,,,,,,,,,,
Steam Link,First,39,https://www.meta.com/en-gb/experiences/steam-link/5841245619310585/,https://www.meta.com/en-gb/experiences/steam-link/5841245619310585/,Yes,No,,,quest_query_data_metaverse,Quest,0,2017,,,,,,,70,,,,,,,,,,,,,
STYLY,First,105,https://gallery.styly.cc/about/en,,,No,,,Google search,,,,,,,,,,,,,,,,,,,,,,,
Sultan Of Egypt Trailer Demo,First,59,https://store.steampowered.com/app/1911200/Sultan_Of_Egypt/?snr=1_7_7_151_150_2,https://store.steampowered.com/app/1911200/Sultan_Of_Egypt/?snr=1_7_7_151_150_2,,No,,,steam_query_data_metaverse,Steam,,0,,,,,,,-,,,,,,,,,,,,,
Surgeon Simulator VR: Meet The Medic,First,31,-,https://store.steampowered.com/app/457420/Surgeon_Simulator_VR_Meet_The_Medic/?snr=1_7_7_151_150_1,,No,,,steam_query_data_vr_multiplayer,Steam,,518,,,,,,,76%,,,,,,,,,,,,,
SurrealVR,First,76,https://surrealvr.com/,https://store.steampowered.com/app/461180/SurrealVR/?snr=1_7_7_151_150_2,Yes,Yes,Yes,No,steam_query_data_vr_multiplayer,Steam,Free,75,,,,,,,61%,,,,,,,,,,,,,
SurrealVR,,106,https://www.surrealvr.com/,"https://store.steampowered.com/app/461180/SurrealVR/
https://www.viveport.com/apps/8168e41c-b1af-41cf-9906-4e1858226f2b?hl=en-US",Yes,Yes,Yes,No,Google search,"Steam
Viveport",Free,,,,,,,,,,,,,,,,,,,,,
Survival Nation,First,55,https://www.meta.com/en-gb/experiences/survival-nation/6198564290223186/,https://www.meta.com/en-gb/experiences/survival-nation/6198564290223186/,Yes,No,,,quest_query_data_social,Quest,29.99,625,,,,,,,82,,,,,,,,,,,,,
Swarm,First,34,https://www.meta.com/en-gb/experiences/swarm/2236053486488156/,https://www.meta.com/en-gb/experiences/swarm/2236053486488156/,Yes,No,,,quest_query_data_social,Quest,24.99,2813,,,,,,,96,,,,,,,,,,,,,
Tabletopia,First,24,https://tabletopia.com/,https://store.steampowered.com/app/402560/Tabletopia/?snr=1_7_7_151_150_1,,No,,,steam_query_data_vr_multiplayer,Steam,,1577,,,,,,,63%,,,,,,,,,,,,,
Tales of Escape,First,17,https://onskull.com/talesofescape/,https://store.steampowered.com/app/587860/Tales_of_Escape/?snr=1_7_7_151_150_1,,No,,,steam_query_data_vr_multiplayer,Steam,,2034,,,,,,,62%,,,,,,,,,,,,,
Talespin,First,38,https://www.meta.com/en-gb/experiences/talespin/9658050154267722/,https://www.meta.com/en-gb/experiences/talespin/9658050154267722/,Yes,No,,,quest_query_data_metaverse,Quest,0,53,,,,,,,64,,,,,,,,,,,,,
Tank Arena: Ultimate League,First,64,https://www.meta.com/en-gb/experiences/tank-arena-ultimate-league/23911676798446391/,https://www.meta.com/en-gb/experiences/tank-arena-ultimate-league/23911676798446391/,Yes,No,,,quest_query_data_social,Quest,5.99,54,,,,,,,82,,,,,,,,,,,,,
Tank Arena: Ultimate League,,72,https://www.meta.com/en-gb/experiences/tank-arena-ultimate-league/23911676798446391/,https://www.meta.com/en-gb/experiences/tank-arena-ultimate-league/23911676798446391/,Yes,No,,,quest_query_data_metaverse,Quest,5.99,54,,,,,,,82,,,,,,,,,,,,,
Teleporter,First,107,https://teleporter.gg/,https://store.steampowered.com/app/1232510/Teleporter_World_of_Gamers_Alpha/?snr=1_7_7_151_150_2,No,,,,Google search,,,,,,,,,,,,,,,,,,,,,,,
Vircadia,First,112,https://vircadia.com/,https://app.vircadia.com/#/,Yes,Yes,Yes,Yes,Google search,,Free,N/A,285,-0.2622556079,899,-0.1945256386,-0.4568,A2,,,,,,Game Engine + SDK,,full code,,,Self-hosted,,No peer review,
Test Subject 901,First,58,-,https://store.steampowered.com/app/914450/Test_Subject_901/?snr=1_7_7_151_150_2,,No,,,steam_query_data_vr_multiplayer,Steam,,46,,,,,,,80%,,,,,,,,,,,,,
The Art of Fight | 4vs4 Fast-Paced FPS,First,68,-,https://store.steampowered.com/app/531270/The_Art_of_Fight__4vs4_FastPaced_FPS/?snr=1_7_7_151_150_2,,No,,,steam_query_data_vr_multiplayer,Steam,,359,,,,,,,67%,,,,,,,,,,,,,
The Expanse,First,45,https://expansevr.netlify.app/,https://store.steampowered.com/app/1490550/The_Expanse/,Yes,,,,Google search,Steam,€5.89,1,,,,,,,,,,,,,,,,,,,,
The Flip,First,82,https://www.meta.com/en-gb/experiences/the-flip/5419048904872022/,https://www.meta.com/en-gb/experiences/the-flip/5419048904872022/,Yes,No,,,quest_query_data_social,Quest,24.99,73,,,,,,,90,,,,,,,,,,,,,
The Ranger: Lost Tribe,First,51,-,https://store.steampowered.com/app/673070/The_Ranger_Lost_Tribe/?snr=1_7_7_151_150_2,,No,,,steam_query_data_vr_multiplayer,Steam,,362,,,,,,,80%,,,,,,,,,,,,,
The Tavern of Magic,First,82,-,https://store.steampowered.com/app/777250/The_Tavern_of_Magic/?snr=1_7_7_151_150_2,,No,,,steam_query_data_vr_multiplayer,Steam,,13,,,,,,,46%,,,,,,,,,,,,,
The Under Presents,First,41,https://tenderclaws.com/,https://www.oculus.com/experiences/quest/1917371471713228/,Yes,Yes,Yes,No,QuestDB,Quest,Free,1797,,,,,,,,,,,,,,,,,,,,
The Vortex,First,23,-,https://store.steampowered.com/app/1852490/The_Vortex/?snr=1_7_7_151_150_1,,Yes,Yes,Yes,steam_query_data_metaverse,Steam,,11,,,,,,,90%,,,,,,,,,,,,,
The Wild,First,122,https://thewild.com/,,No,,,,Google search,,,,,,,,,,,,,,,,,,,,,,,
VRLand,First,119,https://vrland.io/,https://vrland.io/,Yes,Yes,Yes,Yes,Google search,,Free,N/A,285,-0.2622556079,789,-0.1945258299,-0.4568,A1,,,,,,,,,,,,,,
Tiger Blade,First,76,https://www.meta.com/en-gb/experiences/tiger-blade/4741795092599205/,https://www.meta.com/en-gb/experiences/tiger-blade/4741795092599205/,Yes,No,,,quest_query_data_metaverse,Quest,18.99,51,,,,,,,90,,,,,,,,,,,,,
Neo Art Space,First,213,https://www.neoartspace.com/,https://store.steampowered.com/app/1714400/Neo_Art_Space/?curator_clanid=4777282,Yes,Yes,Yes,Yes,SteamDB,Steam,Free,N/A,285,-0.2622556079,235,-0.1945267929,-0.4568,A2,,,,,,,,,,,,,,
Topik,First,109,https://www.inforemix.com/workv1-2/topik,,No,,,,Google search,,,,,,,,,,,,,,,,,,,,,,,
TOTALLY BASEBALL,First,50,https://www.meta.com/en-gb/experiences/totally-baseball/3256881337690839/,https://www.meta.com/en-gb/experiences/totally-baseball/3256881337690839/,Yes,No,,,quest_query_data_social,Quest,19.99,2004,,,,,,,78,,,,,,,,,,,,,
ToyPark - physics-based social VR platform,First,212,https://www.toyparkvr.com/,https://store.steampowered.com/app/1723460/ToyPark__physicsbased_social_VR_platform/?curator_clanid=4777282,No,Yes,,,SteamDB,Steam,Free,,,,,,,,,,,,,,,,,,,,,
ToyPark - physics-based social VR platform,,48,https://store.steampowered.com/app/1723460/ToyPark__physicsbased_social_VR_platform/?snr=1_7_7_151_150_1,https://store.steampowered.com/app/1723460/ToyPark__physicsbased_social_VR_platform/?snr=1_7_7_151_150_1,No,Yes,,,steam_query_data_metaverse,Steam,Free,0,,,,,,,-,,,,,,,,,,,,,
Tribe XR | DJ Academy,First,26,https://www.tribexr.com/,https://store.steampowered.com/app/877850/Tribe_XR__DJ_Academy/?snr=1_7_7_151_150_1,Yes,No,,,steam_query_data_vr_multiplayer,Steam,Free,272,,,,,,,83%,,,,,,,,,,,,,
Tribe XR | DJ Academy,,24,https://www.meta.com/en-gb/experiences/tribe-xr-dj-academy/2055718171162796/,https://www.meta.com/en-gb/experiences/tribe-xr-dj-academy/2055718171162796/,Yes,No,,,quest_query_data_metaverse,Quest,Free,1229,,,,,,,84,,,,,,,,,,,,,
Trivia Crack World,First,105,https://www.etermax.com/,https://steamdb.info/app/2690890/,No,Yes,,,SteamDB,Steam,Free,,,,,,,,,,,,,,,,,,,,,
Ultimechs,First,89,https://www.meta.com/en-gb/experiences/ultimechs/5118731164870081/,https://www.meta.com/en-gb/experiences/ultimechs/5118731164870081/,Yes,No,,,quest_query_data_metaverse,Quest,0,698,,,,,,,84,,,,,,,,,,,,,
Undefeated Samurai,First,34,https://store.steampowered.com/app/1795030/Undefeated_Samurai/?snr=1_7_7_151_150_1,https://store.steampowered.com/app/1795030/Undefeated_Samurai/?snr=1_7_7_151_150_1,,No,,,steam_query_data_metaverse,Steam,,0,,,,,,,-,,,,,,,,,,,,,
Under Pressure,First,72,https://www.powerwashvr.com/,https://store.steampowered.com/app/2524980/Under_Pressure/?snr=1_7_7_151_150_2,,No,,,steam_query_data_vr_multiplayer,Steam,,71,,,,,,,94%,,,,,,,,,,,,,
UNDERDOGS,First,59,https://www.meta.com/en-gb/experiences/underdogs/5302178529865980/,https://www.meta.com/en-gb/experiences/underdogs/5302178529865980/,Yes,No,,,quest_query_data_metaverse,Quest,20.99,1223,,,,,,,98,,,,,,,,,,,,,
Unreal Kingdoms,First,39,https://store.steampowered.com/app/2691250/Unreal_Kingdoms/?snr=1_7_7_151_150_1,https://store.steampowered.com/app/2691250/Unreal_Kingdoms/?snr=1_7_7_151_150_1,No,,No,,steam_query_data_metaverse,Steam,,0,,,,,,,-,,,,,,,,,,,,,
UXR.ZONE,First,110,-,,No,,,,Google search,,,,,,,,,,,,,,,,,,,,,,,
Vegas Infinite,First,44,https://www.meta.com/en-gb/experiences/vegas-infinite/2370815932930055/,https://www.meta.com/en-gb/experiences/vegas-infinite/2370815932930055/,Yes,No,No,,quest_query_data_social,Quest,Free,28061,,,,,,,78,,,,,,,,,,,,,
Vegas Infinite by PokerStars,First,9,https://www.vegasinfinite.com/,https://store.steampowered.com/app/886250/Vegas_Infinite_by_PokerStars/?snr=1_7_7_151_150_1,Yes,Yes,No,,steam_query_data_vr_multiplayer,Steam,Free,5852,,,,,,,81%,,,,,,,,,,,,,
Vegas Infinite by PokerStars,,88,https://www.pokerstars.com/poker/learn/category/pokerstars-vr/,https://store.steampowered.com/app/886250/Vegas_Infinite_by_PokerStars/,Yes,Yes,No,,Google search,Steam,Free,5910,,,,,,,,,,,,,,,,,,,,
Tivoli Cloud VR,First,108,https://tivolicloud.github.io/,https://tivolicloud.github.io/,Yes,Yes,Yes,Yes,Google search,Main page,Free,N/A,285,-0.2622556079,157,-0.1945269285,-0.4568,A1,,,,,,,,,,,,,,
Villa: AI Creation & Collaboration,First,37,https://www.meta.com/en-gb/experiences/villa-ai-creation-collaboration/4784171281624823/,https://www.meta.com/en-gb/experiences/villa-ai-creation-collaboration/4784171281624823/,Yes,Yes,Yes,Yes,quest_query_data_social,Quest,Free,2280,,,,,,,74,,,,,,,,,,,,,
VirBELA,First,111,https://www.virbela.com/,,No,,,,Google search,,,,,,,,,,,,,,,,,,,,,,,
Arkio,First,6,https://www.arkio.is/,https://www.meta.com/en-gb/experiences/arkio/2280319701979278/,Yes,Yes,Yes,Yes,quest_query_data_metaverse,Quest,Free,204,204,-0.2644031966,31159,-0.1944730335,-0.4589,A2,76,,,,,,,,,,,,,
Virtex Stadium,First,134,-,https://store.steampowered.com/app/1690050/Virtex_Stadium/?curator_clanid=4777282,Book,Yes,,,SteamDB,Steam,Free,,,,,,,,,,,,,,,,,,,,,
Virtual Tokyo Tower,First,177,-,https://store.steampowered.com/app/1959860/Virtual_Tokyo_Tower/?curator_clanid=4777282,No,Yes,,,SteamDB,Steam,Free,,,,,,,,,,,,,,,,,,,,,
Virtual Virtual Reality 2,First,55,https://www.meta.com/en-gb/experiences/virtual-virtual-reality-2/2731491443600205/,https://www.meta.com/en-gb/experiences/virtual-virtual-reality-2/2731491443600205/,Yes,No,,,quest_query_data_metaverse,Quest,17.99,317,,,,,,,76,,,,,,,,,,,,,
VirtualCast,First,37,https://virtualcast.jp/en,https://store.steampowered.com/app/947890/VirtualCast/?curator_clanid=4777282,Yes,Yes,Yes,Yes,SteamDB,Steam,Free,,,,,,,,,,,,,,,,,,,,,
Cluster,First,31,https://cluster.mu/,https://www.meta.com/en-gb/experiences/cluster/4178943235565629/,Yes,Yes,Yes,Yes,Google search,Meta,Free,95,95,-0.2672931617,924660,-0.1929197391,-0.4602,A1,,,,,,,,,,,,,,
VirtualCast,,11,https://store.steampowered.com/app/947890/VirtualCast/?snr=1_7_7_151_150_1,https://store.steampowered.com/app/947890/VirtualCast/?snr=1_7_7_151_150_1,Yes,Yes,Yes,Yes,steam_query_data_metaverse,Steam,Free,99,,,,,,,78%,,,,,,,,,,,,,
VirtualSpeech,First,29,https://www.meta.com/en-gb/experiences/virtualspeech/3973230756042512/,https://www.meta.com/en-gb/experiences/virtualspeech/3973230756042512/,Yes,No,,,quest_query_data_metaverse,Quest,0,73,,,,,,,74,,,,,,,,,,,,,
VirZOOM Arcade,First,83,https://virzoom.com/,https://store.steampowered.com/app/448710/VirZOOM_Arcade/?snr=1_7_7_151_150_2,,No,,,steam_query_data_vr_multiplayer,Steam,,33,,,,,,,78%,,,,,,,,,,,,,
ENGAGE,First,42,https://engagevr.io/,"https://www.meta.com/en-gb/experiences/3092079454190601/
https://store.steampowered.com/app/449130/ENGAGE/",Yes,Yes,Yes,Yes,Google search,"Meta
Steam","Free
Free",140,140,-0.2661000568,87196,-0.1943756168,-0.4605,A2,,,,,,,,,,,,,,
Vizible,First,114,https://www.worldviz.com/virtual-reality-collaboration-software,,No,,,,Google search,,,,,,,,,,,,,,,,,,,,,,,
Voyage Senki VR 海洋传说 VR,First,99,-,https://store.steampowered.com/app/747210/Voyage_Senki_VR__VR/?snr=1_7_7_151_150_2,,No,,,steam_query_data_vr_multiplayer,Steam,,42,,,,,,,47%,,,,,,,,,,,,,
VR Conference,First,115,-,,No,,,,Google search,,,,,,,,,,,,,,,,,,,,,,,
VR Hockey Reborn,First,50,https://www.meta.com/en-gb/experiences/vr-hockey-reborn/5307901462582204/,https://www.meta.com/en-gb/experiences/vr-hockey-reborn/5307901462582204/,Yes,No,,,quest_query_data_metaverse,Quest,0,208,,,,,,,84,,,,,,,,,,,,,
VR Triber,First,116,-,https://store.steampowered.com/app/680170/VR_Triber/,Yes,Yes,,,Google search,Steam,Free,24,,,,,,,,,,,,,,,,,,,,
VR Triber,,278,-,https://store.steampowered.com/app/680170/VR_Triber/?curator_clanid=4777282,Yes,Yes,,,SteamDB,Steam,Free,,,,,,,,,,,,,,,,,,,,,
VR TRIBES,First,64,https://framelocker.games/vrtribes/,https://store.steampowered.com/app/1927440/VR_TRIBES/?snr=1_7_7_151_150_2,,No,,,steam_query_data_vr_multiplayer,Steam,,10,,,,,,,50%,,,,,,,,,,,,,
VR Trivia Battle,First,117,-,"https://www.meta.com/en-gb/experiences/pcvr/1961025013964962/
https://store.steampowered.com/app/670830/VR_Trivia_Battle/",Yes,,,,Google search,"Meta
Steam","Not downloadable
Free",0,,,,,,,,,,,,,,,,,,,,
VRAVO!,First,118,-,,No,,,,Google search,,,,,,,,,,,,,,,,,,,,,,,
VirtualCast,,28,https://virtualcast.jp/,https://store.steampowered.com/app/947890/VirtualCast/?snr=1_7_7_151_150_1,Yes,Yes,Yes,Yes,steam_query_data_vr_multiplayer,Steam,Free,99,99,-0.2671871079,143247,-0.1942781757,-0.4615,A1,78%,,,,,,,,,,,,,
VRChat,First,3,https://hello.vrchat.com/,"https://store.steampowered.com/app/438100/VRChat/?snr=1_7_7_151_150_1
https://www.meta.com/en-gb/experiences/vrchat/1856672347794301/
https://www.oculus.com/experiences/quest/1856672347794301/",Yes,Yes,Yes,Yes,Google search,"Steam, SteamVR, Pico, Meta, Google Play, Rift,Viveport",Free,,,,,,,,,,,,,,,,,,,,,
VRChat,,2,https://hello.vrchat.com/,https://store.steampowered.com/app/438100/VRChat/?snr=1_7_7_151_150_1,Yes,Yes,Yes,Yes,steam_query_data_vr_multiplayer,Steam,Free,223785,,,,,,,74%,,,,,,,,,,,,,
VRChat,,10,https://www.meta.com/en-gb/experiences/vrchat/1856672347794301/,https://www.meta.com/en-gb/experiences/vrchat/1856672347794301/,Yes,Yes,Yes,Yes,quest_query_data_social,Quest,Free,27507,,,,,,,74,,,,,,,,,,,,,
VRChat,,49,https://www.meta.com/en-gb/experiences/vrchat/1856672347794301/,https://www.meta.com/en-gb/experiences/vrchat/1856672347794301/,Yes,Yes,Yes,Yes,quest_query_data_metaverse,Quest,Free,27507,,,,,,,74,,,,,,,,,,,,,
VRChat,,2,https://hello.vrchat.com/,https://store.steampowered.com/app/438100/VRChat/?curator_clanid=4777282,Yes,Yes,Yes,Yes,SteamDB,Steam,Free,"224,520",,,,,,,,,,,,,,,,,,,,
VRChat,,5,https://hello.vrchat.com/,https://www.oculus.com/experiences/quest/1856672347794301/,Yes,Yes,Yes,Yes,QuestDB,Quest,Free,27170,,,,,,,,,,,,,,,,,,,,
Zoe,First,22,https://zoeimmersive.com/,https://www.meta.com/en-gb/experiences/zoe/5464660053555314/,Yes,Yes,Yes,Yes,quest_query_data_social,Quest,Free,102,102,-0.2671075676,13448,-0.194503823,-0.4616,A2,72,,,,,,,,,,,,,
Vroom Kaboom,First,84,https://ratloopgamescanada.com/vroom-kaboom,https://store.steampowered.com/app/620070/Vroom_Kaboom/?snr=1_7_7_151_150_2,,No,,,steam_query_data_vr_multiplayer,Steam,,115,,,,,,,54%,,,,,,,,,,,,,
VRROOM,First,285,https://vrroom.studio/,https://store.steampowered.com/app/2166320/VRROOM/?curator_clanid=4777282,Yes,Yes,Yes,Yes,SteamDB,Steam,Free,,,,,,,,,,,,,,,,,,,,,
Arthur,First,74,https://www.arthur.digital/,https://www.meta.com/en-gb/experiences/arthur/2108767382537806/,Yes,Yes,Yes,Yes,quest_query_data_social,Quest,Free,56,56,-0.2683271859,11723,-0.1945068218,-0.4628,A1,74,,,,,,,,,,,,,
Teleporter: World of Gamers (Alpha),First,53,https://teleporter.gg/,https://store.steampowered.com/app/1232510/Teleporter_World_of_Gamers_Alpha/?snr=1_7_7_151_150_2,Yes,Yes,Yes,Yes,steam_query_data_vr_multiplayer,Steam,Free,56,56,-0.2683271859,968,-0.1945255187,-0.4629,A2,83%,,,,,,,,,,,,,
vSpatial,First,98,https://www.vspatial.com/,https://www.oculus.com/experiences/quest/2540393919317658/,Yes,No,,,QuestDB,Quest,Free,267,,,,,,,,,,,,,,,,,,,,
vSpatial,,120,https://www.vspatial.com/,"https://www.meta.com/en-gb/experiences/2540393919317658/
https://store.steampowered.com/app/858900/vSpatial/",Yes,No,,,Google search,"Meta
Steam","Free
Not downloadable",,,,,,,,,,,,,,,,,,,,,
vTime XR,First,7,https://vtime.net/,https://www.meta.com/en-gb/experiences/vtime-xr/1961984627245151/,Yes,Yes,Yes,No,Google search,Meta,Free,148,,,,,,,,,,,,,,,,,,,,
vTime XR,,47,https://www.meta.com/en-gb/experiences/vtime-xr/1961984627245151/,https://www.meta.com/en-gb/experiences/vtime-xr/1961984627245151/,Yes,Yes,Yes,No,quest_query_data_social,Quest,Free,147,,,,,,,70,,,,,,,,,,,,,
vTime XR,,130,https://vtime.net/,https://www.oculus.com/experiences/quest/1961984627245151/,Yes,Yes,Yes,No,QuestDB,Quest,Free,147,,,,,,,,,,,,,,,,,,,,
War Online: Pacific,First,71,https://waronline.com/,https://store.steampowered.com/app/990060/War_Online_Pacific/?snr=1_7_7_151_150_2,,No,,,steam_query_data_vr_multiplayer,Steam,,70,,,,,,,48%,,,,,,,,,,,,,
War Robots VR: The Skirmish,First,85,-,https://store.steampowered.com/app/672640/War_Robots_VR_The_Skirmish/?snr=1_7_7_151_150_2,,No,,,steam_query_data_vr_multiplayer,Steam,,775,,,,,,,79%,,,,,,,,,,,,,
War Thunder,First,1,https://warthunder.com/en,https://store.steampowered.com/app/236390/War_Thunder/?snr=1_7_7_151_150_1,,No,,,steam_query_data_vr_multiplayer,Steam,,529170,,,,,,,73%,,,,,,,,,,,,,
Warplanes: Air Corp,First,91,https://www.meta.com/en-gb/experiences/warplanes-air-corp/5014131998634540/,https://www.meta.com/en-gb/experiences/warplanes-air-corp/5014131998634540/,Yes,No,,,quest_query_data_metaverse,Quest,19.99,396,,,,,,,84,,,,,,,,,,,,,
Wave,First,121,https://wavexr.com/,#N/A,No,#N/A,,,Google search,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,
WGT Golf,First,10,https://www.wgt.com/,https://store.steampowered.com/app/1182020/WGT_Golf/?snr=1_7_7_151_150_1,,,Yes,No,steam_query_data_vr_multiplayer,Steam,,2611,,,,,,,62%,,,,,,,,,,,,,
WIN Reality Baseball,First,43,https://www.meta.com/en-gb/experiences/win-reality-baseball/3172399986210688/,https://www.meta.com/en-gb/experiences/win-reality-baseball/3172399986210688/,Yes,No,,,quest_query_data_metaverse,Quest,0,2948,,,,,,,78,,,,,,,,,,,,,
Windfall,First,262,http://sailwindfall.com/,https://store.steampowered.com/app/841290/Windfall/?curator_clanid=4777282,No,Yes,,,SteamDB,Steam,Free,,,,,,,,,,,,,,,,,,,,,
Windlands 2,First,51,https://www.meta.com/en-gb/experiences/windlands-2/5418402731545943/,https://www.meta.com/en-gb/experiences/windlands-2/5418402731545943/,Yes,No,,,quest_query_data_social,Quest,24.99,130,,,,,,,88,,,,,,,,,,,,,
Wings VR,First,245,-,https://store.steampowered.com/app/1204900/Wings_VR/?curator_clanid=4777282,No,Yes,,,SteamDB,Steam,Free,,,,,,,,,,,,,,,,,,,,,
Witchblood,First,80,https://www.meta.com/en-gb/experiences/witchblood/7221491444554579/,https://www.meta.com/en-gb/experiences/witchblood/7221491444554579/,Yes,No,,,quest_query_data_metaverse,Quest,11.99,272,,,,,,,88,,,,,,,,,,,,,
Wolvic,First,6,https://www.meta.com/en-gb/experiences/wolvic/5917120145021341/,https://www.meta.com/en-gb/experiences/wolvic/5917120145021341/,Yes,No,,,quest_query_data_social,Quest,0,195,,,,,,,72,,,,,,,,,,,,,
Wolvic,,45,https://www.meta.com/en-gb/experiences/wolvic/5917120145021341/,https://www.meta.com/en-gb/experiences/wolvic/5917120145021341/,Yes,No,,,quest_query_data_metaverse,Quest,0,195,,,,,,,72,,,,,,,,,,,,,
Wonda VR,First,123,https://www.wondavr.com/,,No,,,,Google search,,,,,,,,,,,,,,,,,,,,,,,
WoofChat,First,45,https://store.steampowered.com/app/2518520/WoofChat/?snr=1_7_7_151_150_1,https://store.steampowered.com/app/2518520/WoofChat/?snr=1_7_7_151_150_1,,No,,,steam_query_data_metaverse,Steam,,0,,,,,,,-,,,,,,,,,,,,,
Wooorld,First,75,https://www.meta.com/en-gb/experiences/wooorld/4360608937312293/,https://www.meta.com/en-gb/experiences/wooorld/4360608937312293/,Yes,Yes,Yes,No,quest_query_data_social,Quest,Free,455,,,,,,,70,,,,,,,,,,,,,
Wooorld,,82,https://www.wooorld.io/,https://www.oculus.com/experiences/quest/4360608937312293/,Yes,Yes,Yes,No,QuestDB,Quest,Free,445,,,,,,,,,,,,,,,,,,,,
Wooorld,,95,https://www.meta.com/en-gb/experiences/wooorld/4360608937312293/,https://www.meta.com/en-gb/experiences/wooorld/4360608937312293/,Yes,Yes,Yes,No,quest_query_data_metaverse,Quest,Free,455,,,,,,,70,,,,,,,,,,,,,
World Xplore,First,96,-,https://store.steampowered.com/app/2708960/World_Xplore/?curator_clanid=4777282,No,Yes,,,SteamDB,Steam,Free,,,,,,,,,,,,,,,,,,,,,
WWII Online,First,10,https://store.steampowered.com/app/251950/WWII_Online/?snr=1_7_7_151_150_1,https://store.steampowered.com/app/251950/WWII_Online/?snr=1_7_7_151_150_1,,No,,,steam_query_data_metaverse,Steam,,3638,,,,,,,49%,,,,,,,,,,,,,
X8,First,43,https://playx8vr.com/en/,https://store.steampowered.com/app/1763510/X8/?snr=1_7_7_151_150_1,Yes,No,,,steam_query_data_vr_multiplayer,Steam,Free,173,,,,,,,83%,,,,,,,,,,,,,
X8,,67,https://www.meta.com/en-gb/experiences/x8/4518172508241377/,https://www.meta.com/en-gb/experiences/x8/4518172508241377/,Yes,No,,,quest_query_data_metaverse,Quest,Free,2827,,,,,,,96,,,,,,,,,,,,,
Xbox Cloud Gaming (Beta),First,33,https://www.meta.com/en-gb/experiences/xbox-cloud-gaming-beta/6096836170400630/,https://www.meta.com/en-gb/experiences/xbox-cloud-gaming-beta/6096836170400630/,Yes,No,,,quest_query_data_metaverse,Quest,0,843,,,,,,,62,,,,,,,,,,,,,
XRWorkout,First,63,https://www.meta.com/en-gb/experiences/xrworkout/8266372770101746/,https://www.meta.com/en-gb/experiences/xrworkout/8266372770101746/,Yes,Yes,Yes,No,quest_query_data_metaverse,Quest,0,246,,,,,,,78,,,,,,,,,,,,,
